Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P02299	P05205	HIS3|HIS3:CG31613|HIS3:CG33803|HIS3:CG33806|HIS3:CG33809|HIS3:CG33812|HIS3:CG33815|HIS3:CG33818|HIS3:CG33821|HIS3:CG33824|HIS3:CG33827|HIS3:CG33830|HIS3:CG33833|HIS3:CG33836|HIS3:CG33839|HIS3:CG33842|HIS3:CG33845|HIS3:CG33848|HIS3:CG33851|HIS3:CG33854|HIS3:CG33857|HIS3:CG33860|HIS3:CG33863|HIS3:CG33866	SU(VAR)205	CG31613|CG33803|CG33806|CG33809|CG33812|CG33815|CG33818|CG33821|CG33824|CG33827|CG33830|CG33833|CG33836|CG33839|CG33842|CG33845|CG33848|CG33851|CG33854|CG33857|CG33860|CG33863|CG33866	CG8409	FBGN0001199|FBGN0051613|FBGN0053803|FBGN0053806|FBGN0053809|FBGN0053812|FBGN0053815|FBGN0053818|FBGN0053821|FBGN0053824|FBGN0053827|FBGN0053830|FBGN0053833|FBGN0053836|FBGN0053839|FBGN0053842|FBGN0053845|FBGN0053848|FBGN0053851|FBGN0053854|FBGN0053857|FBGN0053860|FBGN0053863|FBGN0053866	FBGN0003607	18981478:0004:LC|20889714:0004:LC|31634430:0096:LC|23071455:0096:LC|18846226:0004:LC|30659116:0096:LC|25613572:0096:LC|11859155:0096:LC|24906153:0096:LC|24415761:0096:LC|11566886:0096:LC|22052799:0096:LC|31634430:0004:LC|24906153:0049:LC|11859155:0114:LC|18981478:0047:LC|24906153:0004:LC|30659116:0004:LC
P02299	P26017	HIS3|HIS3:CG31613|HIS3:CG33803|HIS3:CG33806|HIS3:CG33809|HIS3:CG33812|HIS3:CG33815|HIS3:CG33818|HIS3:CG33821|HIS3:CG33824|HIS3:CG33827|HIS3:CG33830|HIS3:CG33833|HIS3:CG33836|HIS3:CG33839|HIS3:CG33842|HIS3:CG33845|HIS3:CG33848|HIS3:CG33851|HIS3:CG33854|HIS3:CG33857|HIS3:CG33860|HIS3:CG33863|HIS3:CG33866	PC	CG31613|CG33803|CG33806|CG33809|CG33812|CG33815|CG33818|CG33821|CG33824|CG33827|CG33830|CG33833|CG33836|CG33839|CG33842|CG33845|CG33848|CG33851|CG33854|CG33857|CG33860|CG33863|CG33866	CG7618	FBGN0001199|FBGN0051613|FBGN0053803|FBGN0053806|FBGN0053809|FBGN0053812|FBGN0053815|FBGN0053818|FBGN0053821|FBGN0053824|FBGN0053827|FBGN0053830|FBGN0053833|FBGN0053836|FBGN0053839|FBGN0053842|FBGN0053845|FBGN0053848|FBGN0053851|FBGN0053854|FBGN0053857|FBGN0053860|FBGN0053863|FBGN0053866	FBGN0003042	12351676:0004:LC|23320494:0004:LC|12408863:0004:LC
P02299	Q24572	HIS3|HIS3:CG31613|HIS3:CG33803|HIS3:CG33806|HIS3:CG33809|HIS3:CG33812|HIS3:CG33815|HIS3:CG33818|HIS3:CG33821|HIS3:CG33824|HIS3:CG33827|HIS3:CG33830|HIS3:CG33833|HIS3:CG33836|HIS3:CG33839|HIS3:CG33842|HIS3:CG33845|HIS3:CG33848|HIS3:CG33851|HIS3:CG33854|HIS3:CG33857|HIS3:CG33860|HIS3:CG33863|HIS3:CG33866	CAF1-55	CG31613|CG33803|CG33806|CG33809|CG33812|CG33815|CG33818|CG33821|CG33824|CG33827|CG33830|CG33833|CG33836|CG33839|CG33842|CG33845|CG33848|CG33851|CG33854|CG33857|CG33860|CG33863|CG33866	CG4236	FBGN0001199|FBGN0051613|FBGN0053803|FBGN0053806|FBGN0053809|FBGN0053812|FBGN0053815|FBGN0053818|FBGN0053821|FBGN0053824|FBGN0053827|FBGN0053830|FBGN0053833|FBGN0053836|FBGN0053839|FBGN0053842|FBGN0053845|FBGN0053848|FBGN0053851|FBGN0053854|FBGN0053857|FBGN0053860|FBGN0053863|FBGN0053866	FBGN0263979	16728976:0004:LC|21550984:0004:LC|23810557:0004:LC|21550984:0096:LC|21549310:0096:LC|21549310:0114:LC
P02299	Q7JXA8	HIS3|HIS3:CG31613|HIS3:CG33803|HIS3:CG33806|HIS3:CG33809|HIS3:CG33812|HIS3:CG33815|HIS3:CG33818|HIS3:CG33821|HIS3:CG33824|HIS3:CG33827|HIS3:CG33830|HIS3:CG33833|HIS3:CG33836|HIS3:CG33839|HIS3:CG33842|HIS3:CG33845|HIS3:CG33848|HIS3:CG33851|HIS3:CG33854|HIS3:CG33857|HIS3:CG33860|HIS3:CG33863|HIS3:CG33866	RHI	CG31613|CG33803|CG33806|CG33809|CG33812|CG33815|CG33818|CG33821|CG33824|CG33827|CG33830|CG33833|CG33836|CG33839|CG33842|CG33845|CG33848|CG33851|CG33854|CG33857|CG33860|CG33863|CG33866	CG10683|DMEL_CG10683	FBGN0001199|FBGN0051613|FBGN0053803|FBGN0053806|FBGN0053809|FBGN0053812|FBGN0053815|FBGN0053818|FBGN0053821|FBGN0053824|FBGN0053827|FBGN0053830|FBGN0053833|FBGN0053836|FBGN0053839|FBGN0053842|FBGN0053845|FBGN0053848|FBGN0053851|FBGN0053854|FBGN0053857|FBGN0053860|FBGN0053863|FBGN0053866	FBGN0004400	25085419:0096:LC|25613572:0096:LC|24906153:0096:LC|25613572:0114:LC|24906153:0004:LC|24906153:0049:LC
P02299	Q9V9W8	HIS3|HIS3:CG31613|HIS3:CG33803|HIS3:CG33806|HIS3:CG33809|HIS3:CG33812|HIS3:CG33815|HIS3:CG33818|HIS3:CG33821|HIS3:CG33824|HIS3:CG33827|HIS3:CG33830|HIS3:CG33833|HIS3:CG33836|HIS3:CG33839|HIS3:CG33842|HIS3:CG33845|HIS3:CG33848|HIS3:CG33851|HIS3:CG33854|HIS3:CG33857|HIS3:CG33860|HIS3:CG33863|HIS3:CG33866	PYGO	CG31613|CG33803|CG33806|CG33809|CG33812|CG33815|CG33818|CG33821|CG33824|CG33827|CG33830|CG33833|CG33836|CG33839|CG33842|CG33845|CG33848|CG33851|CG33854|CG33857|CG33860|CG33863|CG33866	CG11518	FBGN0001199|FBGN0051613|FBGN0053803|FBGN0053806|FBGN0053809|FBGN0053812|FBGN0053815|FBGN0053818|FBGN0053821|FBGN0053824|FBGN0053827|FBGN0053830|FBGN0053833|FBGN0053836|FBGN0053839|FBGN0053842|FBGN0053845|FBGN0053848|FBGN0053851|FBGN0053854|FBGN0053857|FBGN0053860|FBGN0053863|FBGN0053866	FBGN0043900	24183574:0096:LC|18498752:0096:LC|19493659:0004:LC
P02299	Q9VCU6	HIS3|HIS3:CG31613|HIS3:CG33803|HIS3:CG33806|HIS3:CG33809|HIS3:CG33812|HIS3:CG33815|HIS3:CG33818|HIS3:CG33821|HIS3:CG33824|HIS3:CG33827|HIS3:CG33830|HIS3:CG33833|HIS3:CG33836|HIS3:CG33839|HIS3:CG33842|HIS3:CG33845|HIS3:CG33848|HIS3:CG33851|HIS3:CG33854|HIS3:CG33857|HIS3:CG33860|HIS3:CG33863|HIS3:CG33866	HP1C	CG31613|CG33803|CG33806|CG33809|CG33812|CG33815|CG33818|CG33821|CG33824|CG33827|CG33830|CG33833|CG33836|CG33839|CG33842|CG33845|CG33848|CG33851|CG33854|CG33857|CG33860|CG33863|CG33866	CG6990|DMEL_CG6990	FBGN0001199|FBGN0051613|FBGN0053803|FBGN0053806|FBGN0053809|FBGN0053812|FBGN0053815|FBGN0053818|FBGN0053821|FBGN0053824|FBGN0053827|FBGN0053830|FBGN0053833|FBGN0053836|FBGN0053839|FBGN0053842|FBGN0053845|FBGN0053848|FBGN0053851|FBGN0053854|FBGN0053857|FBGN0053860|FBGN0053863|FBGN0053866	FBGN0039019	18981478:0004:LC|20889714:0004:LC|18981478:0047:LC|30659116:0096:LC|30659116:0004:LC
P02299	Q9VK33	HIS3|HIS3:CG31613|HIS3:CG33803|HIS3:CG33806|HIS3:CG33809|HIS3:CG33812|HIS3:CG33815|HIS3:CG33818|HIS3:CG33821|HIS3:CG33824|HIS3:CG33827|HIS3:CG33830|HIS3:CG33833|HIS3:CG33836|HIS3:CG33839|HIS3:CG33842|HIS3:CG33845|HIS3:CG33848|HIS3:CG33851|HIS3:CG33854|HIS3:CG33857|HIS3:CG33860|HIS3:CG33863|HIS3:CG33866	SFMBT	CG31613|CG33803|CG33806|CG33809|CG33812|CG33815|CG33818|CG33821|CG33824|CG33827|CG33830|CG33833|CG33836|CG33839|CG33842|CG33845|CG33848|CG33851|CG33854|CG33857|CG33860|CG33863|CG33866	CG16975	FBGN0001199|FBGN0051613|FBGN0053803|FBGN0053806|FBGN0053809|FBGN0053812|FBGN0053815|FBGN0053818|FBGN0053821|FBGN0053824|FBGN0053827|FBGN0053830|FBGN0053833|FBGN0053836|FBGN0053839|FBGN0053842|FBGN0053845|FBGN0053848|FBGN0053851|FBGN0053854|FBGN0053857|FBGN0053860|FBGN0053863|FBGN0053866	FBGN0032475	16618800:0096:LC|19494831:0096:LC
P02299	Q9W0T1	HIS3|HIS3:CG31613|HIS3:CG33803|HIS3:CG33806|HIS3:CG33809|HIS3:CG33812|HIS3:CG33815|HIS3:CG33818|HIS3:CG33821|HIS3:CG33824|HIS3:CG33827|HIS3:CG33830|HIS3:CG33833|HIS3:CG33836|HIS3:CG33839|HIS3:CG33842|HIS3:CG33845|HIS3:CG33848|HIS3:CG33851|HIS3:CG33854|HIS3:CG33857|HIS3:CG33860|HIS3:CG33863|HIS3:CG33866	E(BX)	CG31613|CG33803|CG33806|CG33809|CG33812|CG33815|CG33818|CG33821|CG33824|CG33827|CG33830|CG33833|CG33836|CG33839|CG33842|CG33845|CG33848|CG33851|CG33854|CG33857|CG33860|CG33863|CG33866	CG32346|CG7022|NURF301	FBGN0001199|FBGN0051613|FBGN0053803|FBGN0053806|FBGN0053809|FBGN0053812|FBGN0053815|FBGN0053818|FBGN0053821|FBGN0053824|FBGN0053827|FBGN0053830|FBGN0053833|FBGN0053836|FBGN0053839|FBGN0053842|FBGN0053845|FBGN0053848|FBGN0053851|FBGN0053854|FBGN0053857|FBGN0053860|FBGN0053863|FBGN0053866	FBGN0000541	16728976:0004:LC|19629165:0004:LC|19493659:0004:LC
P02515	Q7JVW5	HSP22	DMEL\CG8950	CG4460	CG8950|DMEL_CG8950	FBGN0001223	FBGN0034186	25242320:0004:LC
P02516	P02517	HSP23	HSP26	CG4463	CG4183	FBGN0001224	FBGN0001225	32437379:0004:LC
P02516	Q7JVW5	HSP23	DMEL\CG8950	CG4463	CG8950|DMEL_CG8950	FBGN0001224	FBGN0034186	25242320:0004:LC
P02517	Q7JVW5	HSP26	DMEL\CG8950	CG4183	CG8950|DMEL_CG8950	FBGN0001225	FBGN0034186	25242320:0004:LC
P02517	Q8IH92	HSP26	P53	CG4183	CG33336	FBGN0001225	FBGN0039044	25242320:0004:LC|28720827:0004:LC
P02572	P25439	ACT42A	BRM	CG12051	CG5942	FBGN0000043	FBGN0000212	30343899:0096:LC|9735357:0004:LC|15060132:0004:LC|10809665:0004:LC
P02825	Q9VYX1	HSP70AB	E(Y)2	CG18743	CG15191	FBGN0013276	FBGN0000618	22989713:0004:LC|20960243:0004:LC
P02828	Q23972	HSP83	SMG	CG1242	CG5263	FBGN0001233	FBGN0016070	15723788:0004:LC|24393533:0004:LC
P02828	Q9VPN5	HSP83	STIP1	CG1242	CG2720|DMEL_CG2720	FBGN0001233	FBGN0024352	25822791:0004:LC|21186352:0004:LC
P02835	P33244	FTZ	FTZ-F1	CG2047	CG4059	FBGN0001077	FBGN0001078	15823536:0004:LC|21775434:0114:LC|9020363:0004:LC|21775434:0047:LC|19164706:0004:LC|9020364:0004:LC|29547262:0096:LC|21775434:0096:LC
P02835	Q9W1K4	FTZ	EGL	CG2047	CG4051|DMEL_CG4051	FBGN0001077	FBGN0000562	24718986:0004:LC|27801632:0004:LC
P02836	P16371	EN	GRO	CG9015	CG8384	FBGN0000577	FBGN0001139	16762837:0004:LC|9367988:0004:LC|11311161:0018:LC|9566899:0018:LC|9566899:0004:LC|18803772:0004:LC|11311161:0004:LC|25242320:0004:LC
P04052	P05205	RPII215	SU(VAR)205	CG1554	CG8409	FBGN0003277	FBGN0003607	30659116:0004:LC|19798443:0004:LC
P04052	P92204	RPII215	NELF-E	CG1554	CG5994	FBGN0003277	FBGN0017430	30356106:0004:LC|22056986:0004:LC
P04052	Q32KD4	RPII215	AGO1	CG1554	CG6671|DMEL_CG6671	FBGN0003277	FBGN0262739	19917092:0004:LC|29385168:0004:LC
P04052	Q9VCU6	RPII215	HP1C	CG1554	CG6990|DMEL_CG6990	FBGN0003277	FBGN0039019	20889714:0004:LC|30659116:0004:LC
P04197	Q24472	MYB	RBF	CG9045	CG7413	FBGN0002914	FBGN0015799	15545624:0004:LC|15479636:0004:LC|15479636:0007:LC
P04197	Q24572	MYB	CAF1-55	CG9045	CG4236	FBGN0002914	FBGN0263979	12490953:0004:LC|18316477:0004:LC|12490953:0019:LC|15545624:0004:LC|21969598:0007:LC|21969598:0004:LC
P04197	Q7K159	MYB	MIP40	CG9045	CG15119|DMEL_CG15119	FBGN0002914	FBGN0034430	12490953:0004:LC|18316477:0004:LC|17403774:0004:LC|12490953:0019:LC|15545624:0004:LC|21969598:0007:LC|21969598:0004:LC
P04197	Q9VF04	MYB	RBF2	CG9045	CG5083|DMEL_CG5083	FBGN0002914	FBGN0038390	15545624:0004:LC|15479636:0004:LC|15479636:0007:LC
P04197	Q9W482	MYB	LIN-52	CG9045	CG15929|DMEL_CG15929	FBGN0002914	FBGN0029800	15545624:0004:LC|32295830:0096:LC|17403774:0004:LC|22688510:0004:LC
P04197	Q9W542	MYB	MIP130	CG9045	CG3480|DMEL_CG3480	FBGN0002914	FBGN0023509	12490953:0004:LC|18316477:0004:LC|17403774:0004:LC|32295830:0096:LC|12490953:0019:LC|15545624:0004:LC|15545624:0007:LC|15545624:0006:LC|21969598:0007:LC|21969598:0004:LC
P04388	P11346	RAS64B	RAF	CG1167	CG2845	FBGN0003206	FBGN0003079	32061885:0004:LC|22500634:0004:LC
P04412	P04412	EGFR	EGFR	CG10079	CG10079	FBGN0003731	FBGN0003731	20723758:0114:LC|15166146:0004:LC|20723758:0096:LC
P04412	Q01083	EGFR	SPI	CG10079	CG10334	FBGN0003731	FBGN0005672	20723758:0114:LC|20723758:0107:LC|20723758:0096:LC|16459296:0096:LC
P04412	Q08012	EGFR	DRK	CG10079	CG6033	FBGN0003731	FBGN0004638	7601354:0004:LC|22028469:0004:LC|21340027:0004:LC|7651398:0004:LC
P04412	Q8IR23	EGFR	VAP	CG10079	CG9209|DMEL_CG9209	FBGN0003731	FBGN0003969	17637670:0004:LC|24816559:0004:LC|17637670:0018:LC
P04412	Q9NHV9	EGFR	VAV	CG10079	CG7893	FBGN0003731	FBGN0040068	22028469:0004:LC|17629483:0004:LC
P04412	Q9V3C8	EGFR	SHC	CG10079	CG3715|DMEL_CG3715	FBGN0003731	FBGN0015296	7651398:0107:LC|7651398:0405:LC|17637670:0018:LC|17637670:0004:LC|7651398:0019:LC|8577769:0004:LC|7651398:0004:LC
P04412	Q9VK54	EGFR	KEK1	CG10079	CG12283|DMEL_CG12283	FBGN0003731	FBGN0015399	15020418:0004:LC|15020419:0004:LC|15166146:0004:LC|23827685:0004:LC|10102272:0096:LC|12900463:0004:LC
P04412	Q9VSK2	EGFR	CBL	CG10079	CG7037|DMEL_CG7037	FBGN0003731	FBGN0020224	9121472:0004:LC|9121472:0096:LC|9178769:0004:LC|9178769:0007:LC|28993397:0004:LC
P05205	P05205	SU(VAR)205	SU(VAR)205	CG8409	CG8409	FBGN0003607	FBGN0003607	11566886:0096:LC|20498723:0004:LC|30659116:0004:LC
P05205	P45975	SU(VAR)205	SU(VAR)3-9	CG8409	CG6476	FBGN0003607	FBGN0263755	22365829:0004:LC|19352434:0004:LC|23559249:0096:LC|23559249:0004:LC|20386606:0004:LC|11867540:0018:LC|24990964:0004:LC|30659116:0004:LC|11867540:0004:LC
P05205	P48810	SU(VAR)205	HRB87F	CG8409	CG12749	FBGN0003607	FBGN0004237	21940752:0004:LC|19798443:0004:LC
P05205	Q05344	SU(VAR)205	SSRP	CG8409	CG4817	FBGN0003607	FBGN0010278	20889714:0004:LC|30659116:0004:LC
P05205	Q24151	SU(VAR)205	STAT92E	CG8409	CG4257	FBGN0003607	FBGN0016917	18344984:0096:LC|18344984:0004:LC|25177369:0004:LC
P05205	Q32KD2	SU(VAR)205	EGG	CG8409	CG12196	FBGN0003607	FBGN0086908	24990964:0004:LC|30659116:0004:LC
P05205	Q86CW5	SU(VAR)205	HMR	CG8409	CG1619|DMEL_CG1619	FBGN0003607	FBGN0001206	24990964:0004:LC|24239514:0004:LC|24651406:0004:LC
P05205	Q8MLV3	SU(VAR)205	DMEL\CG30403	CG8409	CG30403|DMEL_CG30403	FBGN0003607	FBGN0050403	24990964:0004:LC|31901448:0004:LC
P05205	Q95RV2	SU(VAR)205	CAV	CG8409	CG6219	FBGN0003607	FBGN0026257	11408576:0004:LC|12826664:0004:LC|19181850:0096:LC|19190990:0004:LC|20057353:0004:LC|12376620:0004:LC|20057353:0007:LC|12376620:0018:LC|19181850:0004:LC
P05205	Q95RV3	SU(VAR)205	LHR	CG8409	CG18468|DMEL_CG18468	FBGN0003607	FBGN0034217	24651406:0004:LC|21366928:0004:LC|24990964:0004:LC|21366928:0018:LC|24239514:0004:LC
P05205	Q9GQN5	SU(VAR)205	XNP	CG8409	CG4548	FBGN0003607	FBGN0039338	24990964:0004:LC|20154359:0004:LC|20154359:0415:LC|18461125:0004:LC
P05205	Q9V333	SU(VAR)205	KDM4A	CG8409	CG15835	FBGN0003607	FBGN0033233	24990964:0004:LC|19061644:0004:LC
P05205	Q9VCU6	SU(VAR)205	HP1C	CG8409	CG6990|DMEL_CG6990	FBGN0003607	FBGN0039019	20889714:0004:LC|30659116:0004:LC
P05205	Q9VIE6	SU(VAR)205	MCM10	CG8409	CG9241	FBGN0003607	FBGN0032929	12808023:0006:LC|12808023:0007:LC|28180289:0004:LC
P05205	Q9VKM1	SU(VAR)205	PIWI	CG8409	CG6122	FBGN0003607	FBGN0004872	17875665:0004:LC|17875665:0096:LC|23793104:0096:LC|17875665:0018:LC|21472955:0096:LC|30867469:0004:LC
P05205	Q9VTE2	SU(VAR)205	SUUR	CG8409	CG7869	FBGN0003607	FBGN0025355	24990964:0004:LC|18445687:0004:LC|18445687:0018:LC|25437540:0004:LC
P05205	Q9VW97	SU(VAR)205	SU(VAR)3-3	CG8409	CG17149	FBGN0003607	FBGN0260397	24990964:0004:LC|17434130:0004:LC
P05205	Q9VYY7	SU(VAR)205	HP5	CG8409	CG1745|DMEL_CG1745	FBGN0003607	FBGN0030301	24990964:0004:LC
P05205	Q9W396	SU(VAR)205	HP1B	CG8409	CG7041|DMEL_CG7041	FBGN0003607	FBGN0030082	24990964:0004:LC|30659116:0004:LC
P05205	Q9W3D1	SU(VAR)205	CAF1-180	CG8409	CG12109|DMEL_CG12109	FBGN0003607	FBGN0030054	24990964:0004:LC|27838630:0004:LC|20663913:0004:LC
P05661	P05661	MHC	MHC	CG17927	CG17927	FBGN0264695	FBGN0264695	22370558:0096:LC
P05661	P35554	MHC	FLN	CG17927	CG7445	FBGN0264695	FBGN0005633	12663941:0047:LC|12663941:0004:LC
P06002	P19107	NINAE	ARR2	CG4550	CG5962	FBGN0002940	FBGN0000121	22855823:0004:LC|19720874:0004:LC
P06002	Q24008	NINAE	INAD	CG4550	CG3504	FBGN0002940	FBGN0001263	10766855:0019:LC|9679151:0004:LC|9679151:0019:LC|9230432:0004:LC|9010208:0004:LC|9230432:0019:LC
P06002	Q9VAL7	NINAE	CNX99A	CG4550	CG11958|DMEL_CG11958	FBGN0002940	FBGN0015622	16423697:0004:LC|26456832:0004:LC
P07207	P07207	N	N	CG3936	CG3936	FBGN0004647	FBGN0004647	18208612:0004:LC|20479883:0096:LC
P07207	P15330	N	DL	CG3936	CG6667	FBGN0004647	FBGN0260632	10935637:0411:LC|2185893:0004:LC|23197537:0004:LC|17923477:0004:LC|31722217:0004:LC|15611340:0096:LC|10935637:0004:LC|18208612:0004:LC
P07207	P18168	N	SER	CG3936	CG6127	FBGN0004647	FBGN0004197	23197537:0004:LC|15804562:0004:LC|17923477:0004:LC|31722217:0004:LC|23970418:0004:LC
P07207	P21520	N	SCA	CG3936	CG17579	FBGN0004647	FBGN0003326	30482693:0004:LC|11214322:0019:LC
P07207	P28159	N	SU(H)	CG3936	CG3497	FBGN0004647	FBGN0004837	29030483:0004:LC|27404588:0065:LC|9851979:0004:LC|11390662:0004:LC|15704125:0004:LC|17535912:0096:LC|29478922:0004:LC|17535912:0020:LC|27404588:0018:LC|29478922:0096:LC|17535912:0028:LC|15123610:0004:LC|27404588:0096:LC|17535912:0071:LC|21765394:0007:LC|25650119:0096:LC|17545467:0004:LC
P07207	P51140	N	DSH	CG3936	CG18361	FBGN0004647	FBGN0000499	15772135:0004:LC|25294943:0096:LC|22736244:0004:LC|20495361:0018:LC|20495361:0004:LC
P07207	P98081	N	DAB	CG3936	CG9695	FBGN0004647	FBGN0000414	9581760:0004:LC|18062953:0004:LC|29343637:0004:LC|15123610:0004:LC
P07207	Q8IMI5	N	SPDO	CG3936	CG31020|DMEL_CG31020	FBGN0004647	FBGN0260440	12919675:0004:LC|23609534:0004:LC
P07207	Q9V6X7	N	O-FUT1	CG3936	CG12366	FBGN0004647	FBGN0033901	17329366:0004:LC|15692013:0019:LC|15692013:0004:LC
P07207	Q9VEC1	N	MED17	CG3936	CG7957	FBGN0004647	FBGN0038578	12556495:0004:LC|12021283:0096:LC
P07207	Q9VN82	N	CNO	CG3936	CG42312|DMEL_CG42312	FBGN0004647	FBGN0259212	17183697:0018:LC|17183697:0007:LC|17183697:0006:LC|23970418:0004:LC|17183697:0004:LC
P07207	Q9W0L0	N	TRIO	CG3936	CG18214	FBGN0004647	FBGN0024277	18062953:0004:LC|29343637:0004:LC
P07207	Q9W3D1	N	CAF1-180	CG3936	CG12109|DMEL_CG12109	FBGN0004647	FBGN0030054	25294943:0096:LC|23942516:0004:LC
P07207	Q9Y0H4	N	SU(DX)	CG3936	CG4244	FBGN0004647	FBGN0003557	17656366:0096:LC|15620650:0004:LC|17656366:0004:LC|30213861:0004:LC
P07548	P40427	DFD	EXD	CG2189	CG8933	FBGN0000439	FBGN0000611	30802457:0096:LC|9878063:0096:LC
P07663	P07663	PER	PER	CG2647	CG2647	FBGN0003068	FBGN0003068	19402744:0007:LC|19402744:0004:LC
P07663	P08181	PER	CKIIALPHA	CG2647	CG17520	FBGN0003068	FBGN0264492	27346344:0004:LC|24013921:0004:LC|24013921:0007:LC
P07663	P49021	PER	TIM	CG2647	CG3234	FBGN0003068	FBGN0014396	19402744:0007:LC|10409723:0004:LC|20980603:0004:LC|21515571:0004:LC|23735496:0004:LC|21734289:0004:LC|11430804:0004:LC|27346344:0004:LC|26711257:0004:LC|20159956:0004:LC|19402744:0004:LC|9856465:0096:LC|31702556:0004:LC|17452449:0004:LC
P07663	Q8SWR8	PER	ATX2	CG2647	CG5166	FBGN0003068	FBGN0041188	23687048:0004:LC|28388438:0004:LC|23687047:0004:LC
P07663	Q9W4M7	PER	TYF	CG2647	CG4857|DMEL_CG4857	FBGN0003068	FBGN0026083	23687047:0004:LC|21331043:0004:LC
P07664	Q7JN06	SRY-DELTA	BEAF-32	CG17958	CG10159|DMEL_CG10159	FBGN0003512	FBGN0015602	32179582:0090:LC|30995488:0018:LC|32179582:0018:LC|30995488:0397:LC|32179582:0004:LC|30995488:0946:LC|25242320:0004:LC|30995488:0096:LC
P07666	Q9W1K4	SRY-ALPHA	EGL	CG17957	CG4051|DMEL_CG4051	FBGN0003510	FBGN0000562	27801632:0004:LC|31391195:0004:LC
P07668	P46867	CHAT	KLP68D	CG12345	CG7293	FBGN0000303	FBGN0004381	22486887:0004:LC|16408306:0004:LC
P07668	Q9VRK9	CHAT	KLP64D	CG12345	CG10642|DMEL_CG10642	FBGN0000303	FBGN0004380	22486887:0004:LC|16408306:0004:LC
P07668	Q9VZ07	CHAT	KAP3	CG12345	CG11759|DMEL_CG11759	FBGN0000303	FBGN0028421	19161286:0004:LC|16408306:0004:LC
P07713	P54631	DPP	SCW	CG9885	CG31695	FBGN0000490	FBGN0005590	24560644:0004:LC|27578781:0004:LC|15797386:0019:LC|15797386:0004:LC
P07713	Q24025	DPP	SOG	CG9885	CG9224	FBGN0000490	FBGN0003463	15797386:0004:LC|30355725:0004:LC|21839924:0004:LC|11260716:0004:LC
P07713	Q24114	DPP	DALLY	CG9885	CG4974	FBGN0000490	FBGN0263930	17055473:0004:LC|18054902:0004:LC
P07713	Q9VMT1	DPP	TKV	CG9885	CG14026|DMEL_CG14026	FBGN0000490	FBGN0003716	22174087:0004:LC|8044838:0096:LC|20381612:0004:LC
P07713	Q9VMV5	DPP	VKG	CG9885	CG16858|DMEL_CG16858	FBGN0000490	FBGN0016075	18701888:0007:LC|22733779:0004:LC|18701888:0096:LC|18701888:0107:LC
P07764	Q9VIE8	ALD1	MACON1	CG6058	CG9244|DMEL_CG9244	FBGN0000064	FBGN0010100	25294943:0007:LC
P07764	Q9XTL9	ALD1	GLYP	CG6058	CG7254	FBGN0000064	FBGN0004507	25294943:0007:LC
P07909	P35875	HRB98DE	PARP	CG9983	CG40411	FBGN0001215	FBGN0010247	17827147:0004:LC|19346337:0004:LC
P07909	Q08473	HRB98DE	SQD	CG9983	CG16901	FBGN0001215	FBGN0263396	8355684:0004:LC|1730753:0004:LC
P07909	Q24298	HRB98DE	SHG	CG9983	CG3722	FBGN0001215	FBGN0003391	22453833:0004:LC|27402862:0004:LC
P08181	P08182	CKIIALPHA	CKIIBETA	CG17520	CG15224	FBGN0264492	FBGN0000259	24013921:0007:LC|19121626:0004:LC|24013921:0004:LC|19144847:0004:LC|24395637:0004:LC
P08181	P49021	CKIIALPHA	TIM	CG17520	CG3234	FBGN0264492	FBGN0014396	27346344:0004:LC|24013921:0004:LC|24013921:0007:LC
P08181	Q8T0D3	CKIIALPHA	DEK	CG17520	CG5935|DMEL_CG5935	FBGN0264492	FBGN0026533	20040570:0004:LC|20040570:0415:LC
P08182	Q8T0D3	CKIIBETA	DEK	CG15224	CG5935|DMEL_CG5935	FBGN0000259	FBGN0026533	20040570:0004:LC
P08510	P31007	SH	DLG1	CG12348	CG1725	FBGN0003380	FBGN0001624	17666528:0004:LC|25813388:0004:LC|17666528:0096:LC|25813388:0096:LC
P08646	P11346	RAS85D	RAF	CG9375	CG2845	FBGN0003205	FBGN0003079	22500634:0004:LC|15723799:0004:LC|15723799:0019:LC
P08879	Q9V3C1	AWD	VHL	CG2210	CG13221	FBGN0000150	FBGN0041174	24915993:0004:LC|24915993:0018:LC|20516215:0004:LC
P08928	P20240	LAM	OTE	CG6944	CG5581	FBGN0002525	FBGN0266420	9632815:0004:LC|22751930:0004:LC|9632815:0018:LC
P08928	P34082	LAM	FAS2	CG6944	CG3665	FBGN0002525	FBGN0000635	25294943:0007:LC
P08928	Q7JW27	LAM	WASH	CG6944	CG13176	FBGN0002525	FBGN0033692	25754639:0004:LC|32503943:0004:LC
P08953	P08953	TL	TL	CG5490	CG5490	FBGN0262473	FBGN0262473	15197269:0019:LC|11881810:0004:LC|18347020:0096:LC|23827685:0004:LC|15197269:0004:LC
P08953	P48607	TL	SPZ	CG5490	CG6134	FBGN0262473	FBGN0003495	12872120:0096:LC|20378549:0004:LC|15795223:0096:LC|24733933:0114:LC|15197269:0019:LC|12872120:0004:LC|15197269:0004:LC|24733933:0096:LC|24282309:0096:LC|31088910:0004:LC|18347020:0096:LC|24282309:0114:LC|23729564:0096:LC
