Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A8JNJ6	P13395	KST	ALPHA-SPEC	CG12008|DMEL_CG12008	CG1977	FBGN0004167	FBGN0250789	27231092:0004:LC|29802406:0004:LC|25712476:0004:LC|25381248:0096:LC|11076973:0004:LC
A8JNJ6	P18431	KST	SGG	CG12008|DMEL_CG12008	CG2621	FBGN0004167	FBGN0003371	25294943:0007:LC|25294943:0096:LC
A8JNJ6	P48462	KST	FLW	CG12008|DMEL_CG12008	CG2096	FBGN0004167	FBGN0000711	25294943:0096:LC
A8JNK1	P34082	ENS	FAS2	CG14998|DMEL_CG14998	CG3665	FBGN0264693	FBGN0000635	25294943:0007:LC
A8JNK4	F2FB81	CIP4	SCAR	CG15015|DMEL_CG15015	CG4636|DMEL_CG4636	FBGN0035533	FBGN0041781	19716703:0004:LC|23424199:0004:LC
A8JNK4	P40793	CIP4	CDC42	CG15015|DMEL_CG15015	CG12530	FBGN0035533	FBGN0010341	20554864:0004:LC|18976911:0004:LC|19716703:0004:LC|18976911:0018:LC|26675239:0004:LC
A8JNK4	Q9VAT0	CIP4	WASP	CG15015|DMEL_CG15015	CG1520|DMEL_CG1520	FBGN0035533	FBGN0024273	25413347:0090:LC|25413347:0004:LC|18976911:0004:LC|20554864:0004:LC|19716703:0018:LC|19716703:0004:LC
A8JNW3	P27091	CMPY	GBB	CG13253|DMEL_CG13253	CG5562	FBGN0037015	FBGN0024234	21750037:0018:LC|25453556:0004:LC|21750037:0004:LC
A8JRE3	Q9VCU6	WOC	HP1C	CG5965|DMEL_CG5965	CG6990|DMEL_CG6990	FBGN0010328	FBGN0039019	18981478:0004:LC|19352434:0004:LC|25916810:0004:LC
A8JRE3	Q9VWD9	WOC	UBQN	CG5965|DMEL_CG5965	CG14224|DMEL_CG14224	FBGN0010328	FBGN0031057	25916810:0004:LC|32006714:0004:LC
A8JUV7	Q02936	BOI	HH	CG32796|DMEL_CG32796	CG4637	FBGN0040388	FBGN0004644	16630821:0004:LC|16630821:0006:LC|20048000:0004:LC
B5A5T4	P08510	QVR	SH	CG33472	CG12348	FBGN0260499	FBGN0003380	20010822:0004:LC|26828958:0004:LC|24613312:0004:LC
B5A5T4	Q9W3G6	QVR	NACHRALPHA3	CG33472	CG2302|DMEL_CG2302	FBGN0260499	FBGN0015519	26828958:0004:LC|24613312:0004:LC
B7TB45	Q7KIN0	NT1	TOLL-7	CG42576	CG8595	FBGN0261526	FBGN0034476	31088910:0004:LC|23892553:0004:LC
B7YZF2	P48462	SHA	FLW	CG13209|DMEL_CG13209	CG2096	FBGN0003382	FBGN0000711	25294943:0007:LC|25294943:0096:LC
B7YZF2	Q24322	SHA	SEMA1A	CG13209|DMEL_CG13209	CG18405	FBGN0003382	FBGN0011259	25294943:0007:LC|25294943:0096:LC
B7YZF8	E1JHT6	ATP8A	RTNL1	CG42321|DMEL_CG42321	CG33113|DMEL_CG33113	FBGN0259221	FBGN0053113	25294943:0096:LC
B7YZK8	P34082	TN	FAS2	CG15105|DMEL_CG15105	CG3665	FBGN0265356	FBGN0000635	25294943:0007:LC|25294943:0096:LC
B7YZK8	Q24322	TN	SEMA1A	CG15105|DMEL_CG15105	CG18405	FBGN0265356	FBGN0011259	25294943:0007:LC|25294943:0096:LC
B7YZT7	Q24322	BCDNA:GH05582	SEMA1A	CG8740|DMEL_CG8740	CG18405	FBGN0027585	FBGN0011259	25294943:0096:LC
B7YZX6	P34082	DMEL\CG10600	FAS2	CG10600|DMEL_CG10600	CG3665	FBGN0032717	FBGN0000635	25294943:0096:LC
B7Z002	Q24322	KIS	SEMA1A	CG3696|DMEL_CG3696	CG18405	FBGN0266557	FBGN0011259	25294943:0007:LC|25294943:0096:LC
B7Z0E2	P19339	UNR	SXL	CG7015|DMEL_CG7015	CG43770	FBGN0263352	FBGN0264270	16452509:0004:LC|23788626:0004:LC
B7Z0E2	P50534	UNR	MSL-2	CG7015|DMEL_CG7015	CG3241	FBGN0263352	FBGN0005616	16452509:0004:LC|16452508:0004:LC|29635389:0004:LC
B7Z0L8	Q9VTZ2	MOI	VER	CG42350|DMEL_CG42350	CG14121|DMEL_CG14121	FBGN0261019	FBGN0262524	27940556:0004:LC|27835648:0018:LC|20679394:0004:LC|27835648:0004:LC
B7Z0W0	P40792	PAK	RAC1	CG10295|DMEL_CG10295	CG2248	FBGN0267698	FBGN0010333	14555990:0004:LC|14527437:0018:LC|11604137:0004:LC|17011730:0004:LC|14527437:0096:LC|8628256:0004:LC|10847683:0018:LC|15479641:0004:LC|14527437:0004:LC|10847683:0004:LC
B7Z0W0	P40793	PAK	CDC42	CG10295|DMEL_CG10295	CG12530	FBGN0267698	FBGN0010341	17011730:0004:LC|8628256:0004:LC
B7Z0W0	P48554	PAK	RAC2	CG10295|DMEL_CG10295	CG8556	FBGN0267698	FBGN0014011	10847683:0096:LC|14527437:0018:LC|14527437:0004:LC|10847683:0004:LC|14527437:0096:LC
B7Z153	Q8MRE6	DIP-BETA	DPR11	CG42343|DMEL_CG42343	CG33202|DMEL_CG33202	FBGN0259245	FBGN0053202	30467080:0096:LC|23827685:0004:LC|26687361:0004:LC
B7Z153	Q9VDD5	DIP-BETA	CDIP	CG42343|DMEL_CG42343	CG10824|DMEL_CG10824	FBGN0259245	FBGN0038865	23827685:0004:LC|26687361:0004:LC
B7Z153	Q9VFD9	DIP-BETA	DPR9	CG42343|DMEL_CG42343	CG33485|DMEL_CG33485	FBGN0259245	FBGN0038282	30467080:0096:LC|23827685:0004:LC|26687361:0004:LC
B7Z153	Q9VY33	DIP-BETA	DPR8	CG42343|DMEL_CG42343	CG32600|DMEL_CG32600	FBGN0259245	FBGN0052600	30467080:0096:LC|23827685:0004:LC|26687361:0004:LC
B7Z153	X2J8X8	DIP-BETA	DPR6	CG42343|DMEL_CG42343	CG14162|DMEL_CG14162	FBGN0259245	FBGN0040823	30467080:0096:LC|23827685:0004:LC|26687361:0004:LC
C0HKQ7	P47980	CECA1	TIS11	CG1365	CG4070	FBGN0000276	FBGN0011837	19726583:0004:LC|29581565:0004:LC
C0HL67	Q9V464	HIS3.3B	ASF1	CG8989	CG9383	FBGN0004828	FBGN0029094	28320872:0004:LC
C0MJ66	P20439	CG5363	CYCB		CG3510		FBGN0000405	16139207:0019:LC|15589158:0019:LC
C0MJ66	Q24152	CG5363	CKS30A		CG3738		FBGN0010314	21827746:0004:LC
C0MJ66	Q9I7I0	CG5363	CYCB3		CG5814		FBGN0015625	9851980:0019:LC|9851980:0004:LC
C0MJ66	Q9VHN1	CG5363	CKS85A		CG9790|DMEL_CG9790		FBGN0037613	21827746:0004:LC
C8VV67	P35875	HRB98DE-RE	PARP		CG40411		FBGN0010247	17827147:0004:LC|19346337:0004:LC
D3DML3	D3DML3	CKA	CKA	CG7392|DMEL_CG7392	CG7392|DMEL_CG7392	FBGN0044323	FBGN0044323	24643257:0004:LC|28100687:0004:LC
D3DML3	P36179	CKA	PP2A-29B	CG7392|DMEL_CG7392	CG17291	FBGN0044323	FBGN0260439	20797625:0004:LC|28100687:0004:LC
D3DML3	Q23977	CKA	HEP	CG7392|DMEL_CG7392	CG4353	FBGN0044323	FBGN0010303	11865058:0004:LC|31164352:0004:LC
D3DML3	Q7K0E3	CKA	MOB4	CG7392|DMEL_CG7392	CG3403	FBGN0044323	FBGN0259483	24643257:0004:LC|20797625:0004:LC
D3DML3	Q8IRD5	CKA	STRIP	CG7392|DMEL_CG7392	CG11526|DMEL_CG11526	FBGN0044323	FBGN0035437	24643257:0004:LC|20797625:0004:LC|31164352:0004:LC|25981041:0004:LC
D3DML3	Q8T0S6	CKA	HPO	CG7392|DMEL_CG7392	CG11228	FBGN0044323	FBGN0261456	29262338:0004:LC|20797625:0004:LC
D3DML3	Q9VM65	CKA	FGOP2	CG7392|DMEL_CG7392	CG10158	FBGN0044323	FBGN0031871	24643257:0004:LC|20797625:0004:LC
E1JH25	Q9VTZ2	TEA	VER	CG30007	CG14121|DMEL_CG14121	FBGN0285892	FBGN0262524	27940556:0004:LC|27835648:0018:LC|27835648:0004:LC
E1JHB7	O18683	PVR	PI3K21B	CG8222|DMEL_CG8222	CG2699	FBGN0032006	FBGN0020622	26839216:0004:LC|27626673:0004:LC|22068330:0007:LC|22068330:0004:LC|15457211:0004:LC
E1JHB7	P91634	PVR	PI3K92E	CG8222|DMEL_CG8222	CG4141|DMEL_CG4141	FBGN0032006	FBGN0015279	27626673:0004:LC|26839216:0004:LC
E1JHB7	Q08012	PVR	DRK	CG8222|DMEL_CG8222	CG6033	FBGN0032006	FBGN0004638	15457211:0004:LC|22028469:0004:LC
E1JHB7	Q9V3C8	PVR	SHC	CG8222|DMEL_CG8222	CG3715|DMEL_CG3715	FBGN0032006	FBGN0015296	15457211:0004:LC
E1JHT6	E1JJ52	RTNL1	PLX	CG33113|DMEL_CG33113	CG42612|DMEL_CG42612	FBGN0053113	FBGN0261261	25294943:0096:LC
E1JHT6	M9NDE3	RTNL1	BARK	CG33113|DMEL_CG33113	CG3921	FBGN0053113	FBGN0031571	25294943:0096:LC
E1JHT6	M9PCD4	RTNL1	LIPRIN-ALPHA	CG33113|DMEL_CG33113	CG11199|DMEL_CG11199	FBGN0053113	FBGN0046704	25294943:0007:LC
E1JHT6	M9PF20	RTNL1	TRAL	CG33113|DMEL_CG33113	CG10686|DMEL_CG10686	FBGN0053113	FBGN0041775	25294943:0007:LC
E1JHT6	M9PI41	RTNL1	STI	CG33113|DMEL_CG33113	CG10522|DMEL_CG10522	FBGN0053113	FBGN0002466	25294943:0096:LC
E1JHT6	O46112	RTNL1	TOC	CG33113|DMEL_CG33113	CG9660	FBGN0053113	FBGN0015600	25294943:0096:LC
E1JHT6	O46307	RTNL1	EG:8D8.4	CG33113|DMEL_CG33113	CG11417|DMEL_CG11417	FBGN0053113	FBGN0024364	25294943:0096:LC
E1JHT6	O61307	RTNL1	TEN-M	CG33113|DMEL_CG33113	CG5723	FBGN0053113	FBGN0004449	25294943:0096:LC
E1JHT6	O62619	RTNL1	PYK	CG33113|DMEL_CG33113	CG7070	FBGN0053113	FBGN0267385	25294943:0007:LC|25294943:0096:LC
E1JHT6	P00334	RTNL1	ADH	CG33113|DMEL_CG33113	CG3481	FBGN0053113	FBGN0000055	25294943:0007:LC|25294943:0096:LC
E1JHT6	P12982	RTNL1	PP1-87B	CG33113|DMEL_CG33113	CG5650	FBGN0053113	FBGN0004103	25294943:0007:LC
E1JHT6	P13709	RTNL1	FS(1)H	CG33113|DMEL_CG33113	CG2252	FBGN0053113	FBGN0004656	25294943:0096:LC
E1JHT6	P18431	RTNL1	SGG	CG33113|DMEL_CG33113	CG2621	FBGN0053113	FBGN0003371	25294943:0007:LC
E1JHT6	P24156	RTNL1	L(2)37CC	CG33113|DMEL_CG33113	CG10691	FBGN0053113	FBGN0002031	25294943:0007:LC|25294943:0096:LC
E1JHT6	P28668	RTNL1	GLUPRORS	CG33113|DMEL_CG33113	CG5394	FBGN0053113	FBGN0005674	25294943:0096:LC
E1JHT6	P29613	RTNL1	TPI	CG33113|DMEL_CG33113	CG2171	FBGN0053113	FBGN0086355	25294943:0007:LC
E1JHT6	P35820	RTNL1	PSC	CG33113|DMEL_CG33113	CG3886	FBGN0053113	FBGN0005624	25294943:0007:LC
E1JHT6	P45594	RTNL1	TSR	CG33113|DMEL_CG33113	CG4254	FBGN0053113	FBGN0011726	25294943:0007:LC|25294943:0096:LC
E1JHT6	P46867	RTNL1	KLP68D	CG33113|DMEL_CG33113	CG7293	FBGN0053113	FBGN0004381	25294943:0007:LC
E1JHT6	P48610	RTNL1	ARGK	CG33113|DMEL_CG33113	CG32031	FBGN0053113	FBGN0000116	25294943:0007:LC|25294943:0096:LC
E1JHT6	P54733	RTNL1	CYCE	CG33113|DMEL_CG33113	CG3938	FBGN0053113	FBGN0010382	25294943:0096:LC
E1JHT6	P62152	RTNL1	CAM	CG33113|DMEL_CG33113	CG8472	FBGN0053113	FBGN0000253	25294943:0096:LC
E1JHT6	P91927	RTNL1	LETM1	CG33113|DMEL_CG33113	CG4589	FBGN0053113	FBGN0284252	25294943:0096:LC
E1JHT6	Q08473	RTNL1	SQD	CG33113|DMEL_CG33113	CG16901	FBGN0053113	FBGN0263396	25294943:0007:LC
E1JHT6	Q27415	RTNL1	NLP	CG33113|DMEL_CG33113	CG7917	FBGN0053113	FBGN0016685	25294943:0096:LC
E1JHT6	Q4V5M2	RTNL1	DMEL\CG30447	CG33113|DMEL_CG33113	CG30447|DMEL_CG30447	FBGN0053113	FBGN0050447	25294943:0096:LC
E1JHT6	Q7JY07	RTNL1	ANON-WO0140519.132	CG33113|DMEL_CG33113	CG9010|DMEL_CG9010	FBGN0053113	FBGN0034173	25294943:0096:LC
E1JHT6	Q7K3L1	RTNL1	MARS	CG33113|DMEL_CG33113	CG17064	FBGN0053113	FBGN0033845	25294943:0096:LC
E1JHT6	Q7K3V6	RTNL1	MEFTU2	CG33113|DMEL_CG33113	CG12736|DMEL_CG12736	FBGN0053113	FBGN0033184	25294943:0007:LC
E1JHT6	Q7K4B2	RTNL1	L(2)K09848	CG33113|DMEL_CG33113	CG7845|DMEL_CG7845	FBGN0053113	FBGN0284246	25294943:0007:LC
